row_index,brand,name,slug,longevity_score,sillage_score,versatility_score,matched_source,matched_url,matched_confidence,recommended_next_action,notes
111,Dior,Hypnotic Poison (2014) Eau de Parfum,dior-hypnotic-poison-2014-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/Hypnotic_Poison_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
112,Louis Vuitton,Imagination,louis-vuitton-imagination,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Louis_Vuitton/imagination,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
113,Parfums de Marly,Layton,parfums-de-marly-layton,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
114,Dior,Dior Homme Intense (2011),dior-dior-homme-intense-2011,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
115,Prada,L'Homme,prada-lhomme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Prada/L_Homme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
116,Yves Saint Laurent,La Nuit de L'Homme Eau de Toilette,yves-saint-laurent-la-nuit-de-lhomme-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/La_Nuit_de_L_Homme_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
117,Parfums de Marly,Althaïr,parfums-de-marly-althair,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/althair,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
118,Dolce & Gabbana,The One for Men (2015) Eau de Parfum,dolce-and-gabbana-the-one-for-men-2015-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-2015,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
119,Tom Ford,Noir Extreme Eau de Parfum,tom-ford-noir-extreme-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
120,Giorgio Armani,Acqua di Giò Profumo Parfum,giorgio-armani-acqua-di-gio-profumo-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_Profumo,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
121,Giorgio Armani,Emporio Armani - Stronger with You Intensely,giorgio-armani-emporio-armani-stronger-with-you-intensely,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-intensely,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
122,Dior,Dior Homme Parfum (2014),dior-dior-homme-parfum-2014,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/dior-homme-parfum-2014,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
123,Hermès,Terre d'Hermès Eau de Toilette,hermes-terre-dhermes-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
124,Chanel,Allure Homme Sport Eau Extrême,chanel-allure-homme-sport-eau-extreme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_Extrme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
125,Guerlain,L'Homme Idéal Eau de Parfum,guerlain-lhomme-ideal-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/L_Homme_Ideal_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
126,Chanel,Allure Homme Édition Blanche Eau de Parfum,chanel-allure-homme-edition-blanche-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Edition_Blanche_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
127,Jean Paul Gaultier,Le Mâle Elixir,jean-paul-gaultier-le-male-elixir,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-elixir,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
128,Roja Parfums,Elysium pour Homme Eau de Parfum,roja-parfums-elysium-pour-homme-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Roja_Parfums/elysium-pour-homme-eau-de-parfum-1,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
129,Prada,Luna Rossa Black,prada-luna-rossa-black,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Black,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
130,Amouage,Jubilation XXV Man,amouage-jubilation-xxv-man,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Jubilation_25_for_Men,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
131,Chanel,Bleu de Chanel Parfum,chanel-bleu-de-chanel-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
132,Amouage,Reflection 45,amouage-reflection-45,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/reflection-45,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
133,Afnan Perfumes,Turathi (Blue),afnan-perfumes-turathi-blue,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Afnan_Perfumes/turathi-blue,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
134,Parfums de Marly,Layton Exclusif,parfums-de-marly-layton-exclusif,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton_Exclusif,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
135,Clive Christian,Jump Up and Kiss Me Hedonistic,clive-christian-jump-up-and-kiss-me-hedonistic,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Clive_Christian/jump-up-and-kiss-me-hedonistic,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
136,Prada,L'Homme Intense,prada-lhomme-intense,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Prada/L_Homme_Intense,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
137,Valentino,Valentino Uomo Intense (2016),valentino-valentino-uomo-intense-2016,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
138,Yves Saint Laurent,La Nuit de L'Homme Bleu Électrique,yves-saint-laurent-la-nuit-de-lhomme-bleu-electrique,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/la-nuit-de-l-homme-bleu-electrique,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
139,Zara,Sunrise on the Red Sand Dunes Eau de Parfum,zara-sunrise-on-the-red-sand-dunes-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Zara/sunrise-on-the-red-sand-dunes-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
140,Roja Parfums,Elysium pour Homme Parfum,roja-parfums-elysium-pour-homme-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Roja_Parfums/Elysium_pour_Homme_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
141,Creed,Green Irish Tweed,creed-green-irish-tweed,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Creed/Green_Irish_Tweed,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
142,Dior,Dior Homme Original (2011) Eau de Toilette,dior-dior-homme-original-2011-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/dior-homme-original-2011-eau-de-toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
143,Hermès,Terre d'Hermès Parfum,hermes-terre-dhermes-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
144,Parfums de Marly,Sedley,parfums-de-marly-sedley,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Sedley,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
145,Mercedes-Benz,Club Black Eau de Toilette,mercedes-benz-club-black-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Mercedes_Benz/club-black-eau-de-toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
146,Givenchy,Gentleman Givenchy Réserve Privée,givenchy-gentleman-givenchy-reserve-privee,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Givenchy/gentleman-givenchy-reserve-privee,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
147,Guerlain,L'Instant de Guerlain pour Homme Eau de Parfum,guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_de_Guerlain_pour_Homme_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
148,Giorgio Armani,Emporio Armani - Stronger With You Absolutely,giorgio-armani-emporio-armani-stronger-with-you-absolutely,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-absolutely,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
149,Parfums de Marly,Haltane,parfums-de-marly-haltane,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Parfums_de_Marly/haltane,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
150,Xerjoff,Richwood,xerjoff-richwood,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Xerjoff/richwood,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
151,Hugo Boss,Boss Bottled Absolu,hugo-boss-boss-bottled-absolu,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Hugo_Boss/boss-bottled-absolu,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
152,Chanel,Égoïste Eau de Toilette,chanel-egoiste-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Egoiste_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
153,Azzaro,The Most Wanted Parfum,azzaro-the-most-wanted-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
154,Roja Parfums,Enigma pour Homme Parfum,roja-parfums-enigma-pour-homme-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Roja_Parfums/Enigma_pour_Homme_Creation_E_pour_Homme_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
155,Chanel,Platinum Égoïste Eau de Toilette,chanel-platinum-egoiste-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Platinum_Egoiste_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
156,Hermès,Terre d'Hermès Eau Givrée,hermes-terre-dhermes-eau-givree,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Hermes/terre-d-hermes-eau-givree,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
157,Rochas,Moustache Eau de Parfum,rochas-moustache-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Rochas/Moustache_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
158,Tom Ford,Beau de Jour Eau de Parfum,tom-ford-beau-de-jour-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Tom_Ford/beau-de-jour-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
159,Givenchy,Gentleman Givenchy Eau de Parfum,givenchy-gentleman-givenchy-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Givenchy/Gentleman_Givenchy_Eau_de_Parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
160,Giorgio Armani,Acqua di Giò Parfum,giorgio-armani-acqua-di-gio-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Giorgio_Armani/acqua-di-gio-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
161,Atkinsons,Oud Save the King Eau de Parfum,atkinsons-oud-save-the-king-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Atkinsons/oud-save-the-king-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
162,Maison Francis Kurkdjian,masculin Pluriel,maison-francis-kurkdjian-masculin-pluriel,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/masculin-pluriel,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
163,Mugler,A*Men Pure Havane,mugler-a-men-pure-havane,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/mugler/AMen_Pure_Havane,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
164,Louis Vuitton,L'Immensité,louis-vuitton-limmensite,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Louis_Vuitton/L_Immensite,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
165,Jean Paul Gaultier,Le Beau Le Parfum,jean-paul-gaultier-le-beau-le-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-beau-le-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
166,Dior,Dior Homme Cologne (2013),dior-dior-homme-cologne-2013,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Cologne_2013,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
167,Nasomatto,Pardon Extrait de Parfum,nasomatto-pardon-extrait-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Nasomatto/Pardon,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
168,Chanel,Antaeus Eau de Toilette,chanel-antaeus-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Antaeus_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
169,Missoni,Missoni Wave,missoni-missoni-wave,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Missoni/missoni-wave,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
170,Maison Francis Kurkdjian,Amyris Homme Extrait de Parfum,maison-francis-kurkdjian-amyris-homme-extrait-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/amyris-homme-extrait-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
171,Yves Saint Laurent,L'Homme Eau de Toilette,yves-saint-laurent-lhomme-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/l-homme-eau-de-toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
172,Armaf,Club de Nuit Intense Man Limited Edition,armaf-club-de-nuit-intense-man-limited-edition,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Armaf/club-de-nuit-intense-man-limited-edition,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
173,Penhaligon's,The Tragedy of Lord George,penhaligons-the-tragedy-of-lord-george,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Penhaligons/the-tragedy-of-lord-george,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
174,Amouage,Epic Man,amouage-epic-man,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Epic_Man,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
175,Kilian,Intoxicated,kilian-intoxicated,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Kilian/Intoxicated,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
176,Dior,Eau Sauvage Eau de Toilette,dior-eau-sauvage-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/Eau_Sauvage_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
177,Casamorati,1888,casamorati-1888,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/casamorati/1888,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
178,Amouage,Sunshine Man,amouage-sunshine-man,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Sunshine_Man,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
179,Valentino,Valentino Uomo Intense,valentino-valentino-uomo-intense,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
180,Louis Vuitton,Nouveau Monde,louis-vuitton-nouveau-monde,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Louis_Vuitton/Nouveau_Monde,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
181,Nasomatto,Duro Extrait de Parfum,nasomatto-duro-extrait-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Nasomatto/Duro,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
182,Dior,Dior Homme Sport (2021),dior-dior-homme-sport-2021,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Dior/dior-homme-sport-2021,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
183,Guerlain,L'Homme Idéal Extrême,guerlain-lhomme-ideal-extreme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/l-homme-ideal-extreme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
184,Xerjoff,Homme Anniversary,xerjoff-homme-anniversary,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Xerjoff/homme-anniversary,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
185,Dior,Eau Sauvage Parfum (2017),dior-eau-sauvage-parfum-2017,,,,,,,Find a trusted score source before curating this perfume manually.,No trusted score-capable source is connected to the pipeline yet.
186,Pana Dora,Aqua de Dora,pana-dora-aqua-de-dora,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/pana-dora/aqua-de-dora,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
187,Afnan Perfumes,Supremacy Not Only Intense,afnan-perfumes-supremacy-not-only-intense,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Afnan_Perfumes/supremacy-not-only-intense,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
188,Amouage,Interlude Black Iris,amouage-interlude-black-iris,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/interlude-black-iris,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
189,Gucci,Guilty Elixir de Parfum pour Homme,gucci-guilty-elixir-de-parfum-pour-homme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Gucci/guilty-elixir-de-parfum-pour-homme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
190,Acqua di Parma,Oud Eau de Parfum,acqua-di-parma-oud-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Acqua_di_Parma/oud-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
191,Reyane Tradition,Insurrection II Wild,reyane-tradition-insurrection-ii-wild,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Reyane_Tradition/Insurrection_II_Wild,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
192,Carolina Herrera,CH Men Privé,carolina-herrera-ch-men-prive,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Carolina_Herrera/CH_Men_Prive,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
193,Prada,L'Homme L'Eau,prada-lhomme-leau,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Prada/L_Homme_L_Eau,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
194,Rasasi,La Yuqawam pour Homme,rasasi-la-yuqawam-pour-homme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Rasasi/La_Yuqawam_pour_Homme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
195,Maison Francis Kurkdjian,Amyris Homme Eau de Toilette,maison-francis-kurkdjian-amyris-homme-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Amyris_homme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
196,Amouage,Memoir Man,amouage-memoir-man,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Amouage/Memoir_Man,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
197,Chanel,Allure Homme Eau de Toilette,chanel-allure-homme-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
198,Guerlain,Habit Rouge Eau de Toilette,guerlain-habit-rouge-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/Habit_Rouge,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
199,Azzaro,The Most Wanted Eau de Parfum Intense,azzaro-the-most-wanted-eau-de-parfum-intense,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-eau-de-parfum-intense,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
200,Maison Francis Kurkdjian,Lumière Noire Homme,maison-francis-kurkdjian-lumiere-noire-homme,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/lumiere-noire-homme,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
201,Roja Parfums,Enigma pour Homme Eau de Parfum,roja-parfums-enigma-pour-homme-eau-de-parfum,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Roja_Parfums/enigma-pour-homme-creation-e-pour-homme-eau-de-parfum,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
202,Guerlain,L'Instant de Guerlain pour Homme Eau de Toilette,guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_de_Guerlain_pour_Homme_Eau_de_Toilette,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
203,Mugler,A*Men Pure Malt,mugler-a-men-pure-malt,,,,Parfumo Top Lists,https://www.parfumo.com/Perfumes/mugler/AMen_Pure_Malt,1,Add a trusted score-capable adapter for this source or curate these scores manually with provenance.,"Trusted match exists, but no implemented adapter currently provides score fields."
