row_index,brand,name,slug,issue_type,candidate_matches,recommended_next_action,notes
92,Amouage,Guidance 46,amouage-guidance-46,conflict,Parfumo Top Lists:Guidance 46:https://www.parfumo.com/Perfumes/Amouage/guidance-46:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Guidance 46.
93,Acqua di Parma,Buongiorno,acqua-di-parma-buongiorno,conflict,Parfumo Top Lists:Buongiorno:https://www.parfumo.com/Perfumes/Acqua_di_Parma/buongiorno:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Buongiorno.
94,Editions de Parfums Frédéric Malle,The Moon,editions-de-parfums-frederic-malle-the-moon,conflict,Parfumo Top Lists:The Moon:https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/the-moon-1:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: The Moon.
95,Gucci,Envy for Men Eau de Toilette,gucci-envy-for-men-eau-de-toilette,conflict,Parfumo Top Lists:Envy for Men Eau de Toilette:https://www.parfumo.com/Perfumes/Gucci/Envy_for_Men_Eau_de_Toilette:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Envy for Men Eau de Toilette.
96,Mugler,Alien Liqueur de Parfum - Création 2013,mugler-alien-liqueur-de-parfum-creation-2013,conflict,Parfumo Top Lists:Alien Liqueur de Parfum - Création 2013:https://www.parfumo.com/Perfumes/mugler/Alien_Liqueur_de_Parfum_Creation_2013:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Alien Liqueur de Parfum - Création 2013.
97,Atkinsons,Shine Despite Everything,atkinsons-shine-despite-everything,conflict,Parfumo Top Lists:Shine Despite Everything:https://www.parfumo.com/Perfumes/Atkinsons/shine-despite-everything:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Shine Despite Everything.
98,Pana Dora,Imperial Wood,pana-dora-imperial-wood,conflict,Parfumo Top Lists:Imperial Wood:https://www.parfumo.com/Perfumes/pana-dora/imperial-wood:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Imperial Wood.
99,Nishane,Mana,nishane-mana,conflict,Parfumo Top Lists:Mana:https://www.parfumo.com/Perfumes/Nishane/mana:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Mana.
100,Roberto Ugolini,17 Rosso Limited Edition,roberto-ugolini-17-rosso-limited-edition,conflict,Parfumo Top Lists:17 Rosso Limited Edition:https://www.parfumo.com/Perfumes/Roberto_Ugolini/17-rosso-limited-edition:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: 17 Rosso Limited Edition.
101,Celine,Dans Paris,celine-dans-paris,conflict,Parfumo Top Lists:Dans Paris:https://www.parfumo.com/Perfumes/Celine/dans-paris:1,Review conflicting field values manually before applying any overwrite.,Accepted trusted Parfumo Top Lists candidate: Dans Paris.
