brand,name,gender,year,top_notes,heart_notes,base_notes,family,rating,imageUrl
Parfums de Marly,Opaline Elixir 0353,MEN,2012,Pink Pepper;Fig Leaf;Ginger,Jasmine;Cinnamon;Coffee,Vetiver;Cashmeran;Oakmoss,Amber Gourmand,4.3,
Initio,Midnight Edition 0354,WOMEN,1988,Saffron;Aldehydes;Pear,Dates;Jasmine;Lavender,Benzoin;Cashmeran;Cedarwood,Citrus Aromatic,4.4,
Mancera,Luminous Fusion 0355,UNISEX,1982,Bergamot;Mandarin;Saffron,Fig;Tuberose;Lavender,Cedarwood;Incense;Oakmoss,Oriental Vanilla,4.5,https://images.odora.it/perfumes/mancera-0355.jpg
Montale,Absolu Sillage 0356,MEN,1985,Mint;Saffron;Fig Leaf,Cedar;Ylang Ylang;Violet,Oakmoss;Labdanum;Tonka Bean,Green Aromatic,4.1,
Nishane,Zenith Spirit 0357,UNISEX,2013,Aldehydes;Grapefruit;Lemon,Nutmeg;Fig;Rose,Tonka Bean;Vetiver;Amber,Green Aromatic,3.9,
Memo Paris,Midnight Essence 0358,WOMEN,2001,Lemon;Bergamot;Grapefruit,Lavender;Dates;Fig,Benzoin;Myrrh;Vanilla,Amber Gourmand,4.2,
Frederic Malle,Eclat Legend 0359,UNISEX,1997,Ginger;Saffron;Juniper Berries,Violet;Fig;Patchouli,Amber;Sandalwood;Leather,Aromatic Fougere,4.0,
Le Labo,Saffron Legend 0360,UNISEX,1988,Mandarin;Pink Pepper;Grapefruit,Cinnamon;Patchouli;Tuberose,Cedarwood;Amber;Vanilla,Floral Woody Musk,3.7,https://images.odora.it/perfumes/le-labo-0360.jpg
Dior,Luminous Trail 0361,MEN,2024,Pear;Saffron;Lemon,Jasmine;Rose;Coffee,Cedarwood;Sandalwood;Vetiver,Oriental Vanilla,3.8,
Chanel,Absolu Legend 0362,UNISEX,2013,Juniper Berries;Aldehydes;Neroli,Patchouli;Jasmine;Fig,Musk;Labdanum;Sandalwood,Woody Amber,3.7,
Xerjoff,Midnight Fusion 0363,UNISEX,2024,Aldehydes;Saffron;Pear,Fig;Ylang Ylang;Rose,Labdanum;Benzoin;Praline,Floral Musk,4.2,
Lattafa,Luminous Bloom 0364,UNISEX,2023,Grapefruit;Lavender;Juniper Berries,Violet;Rose;Geranium,Oud;Labdanum;Tonka Bean,Woody Spicy,3.7,
Amouage,Intense Sillage 0365,WOMEN,2022,Mint;Neroli;Ginger,Nutmeg;Cedar;Geranium,Vetiver;Musk;Oakmoss,Citrus Aromatic,4.3,https://images.odora.it/perfumes/amouage-0365.jpg
Tom Ford,Zenith Veil 0366,WOMEN,2016,Neroli;Apple;Bergamot,Violet;Dates;Coffee,Amber;Oakmoss;Oud,Woody Spicy,4.7,
Guerlain,Saffron Pulse 0367,MEN,1996,Fig Leaf;Ginger;Mint,Dates;Patchouli;Tuberose,Musk;Myrrh;Vanilla,Woody Amber,4.5,
Maison Francis Kurkdjian,Saffron Code 0368,MEN,2004,Fig Leaf;Pear;Aldehydes,Ylang Ylang;Patchouli;Cinnamon,Cedarwood;Amber;Tonka Bean,Oriental Vanilla,4.4,
Diptyque,Opaline Trail 0369,MEN,2000,Mandarin;Neroli;Lavender,Jasmine;Fig;Tuberose,Musk;Oud;Tonka Bean,Woody Amber,4.0,
Byredo,Saffron Trail 0370,WOMEN,1993,Ginger;Mandarin;Saffron,Tuberose;Patchouli;Fig,Benzoin;Vetiver;Vanilla,Floral Musk,4.2,https://images.odora.it/perfumes/byredo-0370.jpg
Yves Saint Laurent,Amber Parfum 0371,MEN,2005,Lemon;Juniper Berries;Neroli,Rose;Patchouli;Cedar,Myrrh;Musk;Vetiver,Amber Gourmand,3.5,
Acqua di Parma,Noble Legend 0372,MEN,2006,Juniper Berries;Lemon;Apple,Rose;Coffee;Cedar,Cedarwood;Tonka Bean;Benzoin,Citrus Aromatic,4.2,
Parfums de Marly,Eclat Fusion 0373,UNISEX,2001,Ginger;Juniper Berries;Cardamom,Fig;Ylang Ylang;Violet,Praline;Cashmeran;Cedarwood,Amber Gourmand,3.9,
Initio,Silk Code 0374,MEN,2007,Pear;Mint;Pink Pepper,Nutmeg;Geranium;Rose,Oakmoss;Cashmeran;Leather,Woody Spicy,3.6,
Mancera,Intense Veil 0375,WOMEN,2016,Pink Pepper;Grapefruit;Neroli,Rose;Nutmeg;Iris,Vanilla;Sandalwood;Cashmeran,Green Aromatic,4.3,https://images.odora.it/perfumes/mancera-0375.jpg
Montale,Aura Veil 0376,UNISEX,2005,Cardamom;Pear;Mandarin,Ylang Ylang;Fig;Orange Blossom,Benzoin;Praline;Incense,Aromatic Fougere,3.6,
Nishane,Aura Reserve 0377,MEN,1987,Pear;Lemon;Bergamot,Jasmine;Geranium;Tuberose,Oakmoss;Leather;Incense,Fresh Citrus,3.8,
Memo Paris,Intense Signature 0378,UNISEX,2022,Cardamom;Pink Pepper;Aldehydes,Geranium;Ylang Ylang;Tuberose,Cedarwood;Amber;Oud,Oriental Vanilla,4.3,
Frederic Malle,Oud Pulse 0379,WOMEN,2002,Mint;Juniper Berries;Apple,Violet;Ylang Ylang;Iris,Praline;Incense;Cashmeran,Amber Gourmand,4.5,
Le Labo,Noble Eau de Parfum 0380,UNISEX,1991,Aldehydes;Pear;Neroli,Tuberose;Cedar;Nutmeg,Musk;Myrrh;Cashmeran,Woody Amber,3.7,https://images.odora.it/perfumes/le-labo-0380.jpg
Dior,Noble Eau de Parfum 0381,MEN,2001,Aldehydes;Grapefruit;Mandarin,Ylang Ylang;Orange Blossom;Cinnamon,Amber;Myrrh;Incense,Woody Spicy,4.3,
Chanel,Velvet Parfum 0382,MEN,2008,Pear;Lemon;Apple,Tuberose;Iris;Geranium,Myrrh;Vanilla;Praline,Green Aromatic,4.6,
Xerjoff,Noir Whisper 0383,UNISEX,2001,Pear;Pink Pepper;Grapefruit,Lavender;Geranium;Fig,Leather;Myrrh;Cedarwood,Floral Woody Musk,4.4,
Lattafa,Zenith Bloom 0384,MEN,2011,Grapefruit;Lemon;Apple,Tuberose;Geranium;Patchouli,Oud;Leather;Incense,Amber Gourmand,4.1,
Amouage,Absolu Fusion 0385,UNISEX,2001,Aldehydes;Juniper Berries;Fig Leaf,Jasmine;Patchouli;Nutmeg,Praline;Sandalwood;Leather,Fresh Citrus,4.7,https://images.odora.it/perfumes/amouage-0385.jpg
Tom Ford,Midnight Eau de Parfum 0386,UNISEX,2019,Juniper Berries;Aldehydes;Lemon,Orange Blossom;Fig;Jasmine,Praline;Oakmoss;Cedarwood,Green Aromatic,3.8,
Guerlain,Mystic Elixir 0387,UNISEX,1984,Ginger;Lemon;Pink Pepper,Fig;Orange Blossom;Rose,Musk;Tonka Bean;Cedarwood,Floral Woody Musk,4.5,
Maison Francis Kurkdjian,Luminous Essence 0388,UNISEX,1981,Grapefruit;Neroli;Aldehydes,Violet;Tuberose;Rose,Leather;Praline;Labdanum,Oriental Vanilla,3.6,
Diptyque,Saffron Code 0389,MEN,1997,Juniper Berries;Cardamom;Ginger,Fig;Rose;Ylang Ylang,Oud;Myrrh;Cashmeran,Green Aromatic,4.0,
Byredo,Noir Eau de Parfum 0390,UNISEX,2002,Grapefruit;Saffron;Mint,Orange Blossom;Ylang Ylang;Dates,Incense;Myrrh;Oud,Woody Amber,4.6,https://images.odora.it/perfumes/byredo-0390.jpg
Yves Saint Laurent,Silk Veil 0391,WOMEN,1983,Pink Pepper;Bergamot;Neroli,Violet;Orange Blossom;Iris,Oakmoss;Praline;Amber,Woody Amber,3.6,
Acqua di Parma,Oud Pulse 0392,UNISEX,2005,Fig Leaf;Pear;Juniper Berries,Rose;Geranium;Ylang Ylang,Sandalwood;Vetiver;Cashmeran,Woody Amber,3.9,
Parfums de Marly,Royal Trail 0393,WOMEN,2006,Ginger;Aldehydes;Apple,Jasmine;Tuberose;Geranium,Incense;Tonka Bean;Vetiver,Oriental Vanilla,4.2,
Initio,Eclat Fusion 0394,WOMEN,2005,Grapefruit;Pink Pepper;Aldehydes,Cedar;Orange Blossom;Coffee,Musk;Amber;Leather,Green Aromatic,4.9,
Mancera,Noble Elixir 0395,UNISEX,2013,Mandarin;Pear;Grapefruit,Fig;Coffee;Patchouli,Cedarwood;Benzoin;Amber,Floral Woody Musk,4.8,https://images.odora.it/perfumes/mancera-0395.jpg
Montale,Zenith Pulse 0396,UNISEX,2013,Grapefruit;Pink Pepper;Apple,Tuberose;Cedar;Fig,Myrrh;Leather;Oud,Floral Woody Musk,4.4,
Nishane,Solar Bloom 0397,UNISEX,1996,Neroli;Juniper Berries;Pear,Dates;Nutmeg;Coffee,Myrrh;Vetiver;Musk,Fresh Citrus,4.7,
Memo Paris,Absolu Spirit 0398,MEN,2015,Lavender;Cardamom;Saffron,Tuberose;Patchouli;Coffee,Cedarwood;Oakmoss;Tonka Bean,Floral Woody Musk,4.2,
Frederic Malle,Midnight Code 0399,UNISEX,1991,Pear;Mint;Neroli,Coffee;Cedar;Tuberose,Musk;Oud;Amber,Aromatic Fougere,4.6,
Le Labo,Royal Legend 0400,MEN,1992,Lemon;Grapefruit;Pink Pepper,Cinnamon;Cedar;Jasmine,Myrrh;Oud;Oakmoss,Amber Gourmand,4.4,https://images.odora.it/perfumes/le-labo-0400.jpg
Dior,Velvet Parfum 0401,WOMEN,1989,Apple;Juniper Berries;Mint,Jasmine;Nutmeg;Rose,Incense;Vetiver;Vanilla,Fresh Citrus,4.1,
Chanel,Mystic Nectar 0402,MEN,1986,Lavender;Saffron;Cardamom,Fig;Ylang Ylang;Patchouli,Oud;Cashmeran;Praline,Amber Gourmand,4.1,
Xerjoff,Velvet Edition 0403,WOMEN,1981,Mandarin;Lavender;Pink Pepper,Ylang Ylang;Fig;Nutmeg,Myrrh;Vanilla;Cedarwood,Woody Amber,4.3,
Lattafa,Solar Parfum 0404,MEN,2007,Lavender;Ginger;Apple,Rose;Lavender;Iris,Benzoin;Vetiver;Sandalwood,Amber Gourmand,4.3,
Amouage,Saffron Nectar 0405,UNISEX,2011,Ginger;Bergamot;Grapefruit,Iris;Geranium;Patchouli,Sandalwood;Leather;Incense,Woody Spicy,4.4,https://images.odora.it/perfumes/amouage-0405.jpg
Tom Ford,Zenith Eau de Parfum 0406,WOMEN,1991,Neroli;Juniper Berries;Fig Leaf,Dates;Jasmine;Iris,Labdanum;Vetiver;Tonka Bean,Citrus Aromatic,4.1,
Guerlain,Luminous Bloom 0407,MEN,1993,Aldehydes;Saffron;Cardamom,Fig;Geranium;Rose,Amber;Praline;Musk,Woody Amber,3.9,
Maison Francis Kurkdjian,Oud Whisper 0408,WOMEN,2021,Mint;Pink Pepper;Mandarin,Fig;Jasmine;Iris,Oakmoss;Myrrh;Amber,Amber Gourmand,4.8,
Diptyque,Noble Trail 0409,MEN,1997,Mint;Neroli;Grapefruit,Patchouli;Coffee;Cinnamon,Incense;Musk;Vetiver,Woody Spicy,4.1,
Byredo,Noir Nectar 0410,MEN,1987,Ginger;Lavender;Aldehydes,Iris;Geranium;Violet,Sandalwood;Labdanum;Oakmoss,Floral Woody Musk,3.8,https://images.odora.it/perfumes/byredo-0410.jpg
Yves Saint Laurent,Noir Code 0411,WOMEN,2004,Ginger;Mandarin;Lavender,Ylang Ylang;Cinnamon;Patchouli,Oud;Musk;Amber,Amber Gourmand,4.6,
Acqua di Parma,Oud Veil 0412,UNISEX,2015,Juniper Berries;Pink Pepper;Bergamot,Dates;Nutmeg;Iris,Incense;Labdanum;Myrrh,Floral Woody Musk,4.4,
Parfums de Marly,Solar Elixir 0413,MEN,1996,Aldehydes;Pear;Neroli,Geranium;Cedar;Lavender,Labdanum;Benzoin;Myrrh,Oriental Vanilla,4.5,
Initio,Amber Parfum 0414,WOMEN,2010,Lavender;Saffron;Neroli,Geranium;Patchouli;Cedar,Musk;Sandalwood;Praline,Citrus Aromatic,4.3,
Mancera,Aura Reserve 0415,UNISEX,1997,Mint;Ginger;Aldehydes,Lavender;Rose;Nutmeg,Musk;Praline;Benzoin,Fresh Citrus,3.9,https://images.odora.it/perfumes/mancera-0415.jpg
Montale,Opaline Whisper 0416,WOMEN,2010,Apple;Neroli;Pear,Fig;Tuberose;Nutmeg,Vanilla;Sandalwood;Oud,Aromatic Fougere,3.9,
Nishane,Noir Whisper 0417,MEN,1989,Pear;Cardamom;Saffron,Cedar;Geranium;Violet,Cashmeran;Leather;Incense,Floral Musk,4.5,
Memo Paris,Royal Whisper 0418,WOMEN,2010,Juniper Berries;Lemon;Fig Leaf,Violet;Jasmine;Iris,Incense;Vanilla;Cashmeran,Oriental Vanilla,4.5,
Frederic Malle,Noir Bloom 0419,WOMEN,1981,Apple;Saffron;Grapefruit,Patchouli;Geranium;Lavender,Benzoin;Leather;Vanilla,Fresh Citrus,4.6,
Le Labo,Solar Sillage 0420,WOMEN,2009,Pear;Apple;Ginger,Nutmeg;Fig;Patchouli,Oakmoss;Tonka Bean;Incense,Amber Gourmand,4.1,https://images.odora.it/perfumes/le-labo-0420.jpg
Dior,Intense Veil 0421,WOMEN,2007,Bergamot;Mint;Pear,Cinnamon;Patchouli;Coffee,Leather;Praline;Musk,Floral Woody Musk,4.8,
Chanel,Solar Whisper 0422,UNISEX,2008,Mint;Aldehydes;Pear,Tuberose;Geranium;Cinnamon,Praline;Oakmoss;Incense,Aromatic Fougere,3.9,
Xerjoff,Royal Elixir 0423,UNISEX,1995,Lavender;Juniper Berries;Saffron,Tuberose;Jasmine;Cinnamon,Sandalwood;Amber;Benzoin,Aromatic Fougere,4.6,
Lattafa,Opaline Signature 0424,UNISEX,2017,Grapefruit;Aldehydes;Lavender,Lavender;Coffee;Rose,Oud;Vetiver;Myrrh,Floral Musk,4.1,
Amouage,Aura Whisper 0425,WOMEN,2016,Mint;Aldehydes;Mandarin,Orange Blossom;Rose;Violet,Sandalwood;Cedarwood;Leather,Fresh Citrus,4.2,https://images.odora.it/perfumes/amouage-0425.jpg
Tom Ford,Noir Whisper 0426,MEN,2002,Juniper Berries;Cardamom;Apple,Orange Blossom;Coffee;Jasmine,Vetiver;Benzoin;Leather,Aromatic Fougere,3.7,
Guerlain,Midnight Spirit 0427,MEN,1992,Juniper Berries;Grapefruit;Pear,Coffee;Dates;Ylang Ylang,Praline;Tonka Bean;Amber,Oriental Vanilla,3.7,
Maison Francis Kurkdjian,Noir Signature 0428,MEN,2022,Bergamot;Aldehydes;Apple,Lavender;Orange Blossom;Ylang Ylang,Tonka Bean;Leather;Musk,Woody Spicy,3.7,
Diptyque,Noble Code 0429,MEN,2009,Cardamom;Saffron;Juniper Berries,Nutmeg;Violet;Coffee,Incense;Sandalwood;Cedarwood,Citrus Aromatic,3.6,
Byredo,Absolu Bloom 0430,UNISEX,2016,Cardamom;Bergamot;Fig Leaf,Dates;Ylang Ylang;Fig,Musk;Vetiver;Cedarwood,Green Aromatic,4.0,https://images.odora.it/perfumes/byredo-0430.jpg
Yves Saint Laurent,Aura Parfum 0431,UNISEX,1982,Lemon;Lavender;Juniper Berries,Patchouli;Dates;Iris,Tonka Bean;Myrrh;Praline,Woody Amber,4.5,
Acqua di Parma,Eclat Eau de Parfum 0432,WOMEN,2003,Fig Leaf;Saffron;Lemon,Cinnamon;Tuberose;Jasmine,Oakmoss;Praline;Cashmeran,Aromatic Fougere,4.5,
Parfums de Marly,Luminous Edition 0433,UNISEX,1986,Lavender;Grapefruit;Mint,Jasmine;Rose;Orange Blossom,Labdanum;Myrrh;Vetiver,Fresh Citrus,3.7,
Initio,Noir Essence 0434,MEN,1983,Lavender;Grapefruit;Mint,Ylang Ylang;Fig;Nutmeg,Cashmeran;Oud;Benzoin,Amber Gourmand,4.8,
Mancera,Zenith Whisper 0435,UNISEX,2003,Bergamot;Ginger;Cardamom,Orange Blossom;Cedar;Lavender,Leather;Benzoin;Oud,Citrus Aromatic,4.5,https://images.odora.it/perfumes/mancera-0435.jpg
Montale,Aura Whisper 0436,MEN,2013,Pink Pepper;Apple;Ginger,Fig;Cinnamon;Lavender,Oakmoss;Leather;Incense,Oriental Vanilla,4.3,
Nishane,Midnight Reserve 0437,WOMEN,1994,Neroli;Ginger;Grapefruit,Patchouli;Rose;Violet,Tonka Bean;Cashmeran;Vanilla,Woody Spicy,4.4,
Memo Paris,Luminous Edition 0438,MEN,2010,Lemon;Neroli;Pear,Iris;Cedar;Patchouli,Myrrh;Benzoin;Tonka Bean,Citrus Aromatic,4.4,
Frederic Malle,Mystic Veil 0439,WOMEN,1995,Lemon;Apple;Neroli,Cedar;Violet;Nutmeg,Benzoin;Cedarwood;Incense,Oriental Vanilla,3.8,
Le Labo,Opaline Code 0440,MEN,1992,Grapefruit;Saffron;Pink Pepper,Violet;Tuberose;Jasmine,Cedarwood;Amber;Vanilla,Floral Woody Musk,3.8,https://images.odora.it/perfumes/le-labo-0440.jpg
Dior,Absolu Bloom 0441,UNISEX,1987,Lavender;Pink Pepper;Grapefruit,Lavender;Cedar;Coffee,Oakmoss;Amber;Oud,Green Aromatic,4.3,
Chanel,Royal Code 0442,WOMEN,1991,Neroli;Bergamot;Fig Leaf,Violet;Nutmeg;Iris,Sandalwood;Myrrh;Incense,Fresh Citrus,3.7,
Xerjoff,Mystic Whisper 0443,UNISEX,1993,Pear;Lemon;Apple,Geranium;Rose;Patchouli,Labdanum;Vetiver;Sandalwood,Floral Musk,3.6,
Lattafa,Aura Trail 0444,WOMEN,1986,Bergamot;Pink Pepper;Lemon,Violet;Patchouli;Dates,Benzoin;Cashmeran;Sandalwood,Amber Gourmand,4.1,
Amouage,Noir Legend 0445,UNISEX,2021,Fig Leaf;Apple;Lavender,Lavender;Patchouli;Jasmine,Sandalwood;Cedarwood;Leather,Floral Woody Musk,4.9,https://images.odora.it/perfumes/amouage-0445.jpg
Tom Ford,Saffron Pulse 0446,WOMEN,1992,Aldehydes;Grapefruit;Mint,Orange Blossom;Cinnamon;Dates,Oud;Sandalwood;Praline,Woody Amber,4.0,
Guerlain,Intense Signature 0447,MEN,2000,Pear;Lavender;Lemon,Dates;Fig;Lavender,Oakmoss;Tonka Bean;Oud,Amber Gourmand,3.9,
Maison Francis Kurkdjian,Oud Parfum 0448,WOMEN,2008,Saffron;Lavender;Apple,Nutmeg;Lavender;Ylang Ylang,Cedarwood;Vanilla;Vetiver,Aromatic Fougere,4.5,
Diptyque,Saffron Signature 0449,UNISEX,2013,Mint;Bergamot;Cardamom,Orange Blossom;Ylang Ylang;Rose,Leather;Cedarwood;Oakmoss,Citrus Aromatic,4.8,
Byredo,Opaline Code 0450,UNISEX,2013,Lemon;Mandarin;Grapefruit,Patchouli;Dates;Geranium,Praline;Myrrh;Labdanum,Fresh Citrus,3.9,https://images.odora.it/perfumes/byredo-0450.jpg
Yves Saint Laurent,Opaline Trail 0451,WOMEN,1984,Mandarin;Aldehydes;Cardamom,Ylang Ylang;Patchouli;Lavender,Oud;Amber;Sandalwood,Woody Amber,4.7,
Acqua di Parma,Noble Legend 0452,MEN,2022,Juniper Berries;Ginger;Saffron,Dates;Rose;Geranium,Oud;Vanilla;Tonka Bean,Woody Amber,4.2,
Parfums de Marly,Luminous Trail 0453,WOMEN,2022,Pear;Mint;Bergamot,Geranium;Orange Blossom;Iris,Incense;Oud;Myrrh,Citrus Aromatic,4.6,
Initio,Intense Elixir 0454,MEN,2004,Saffron;Lemon;Bergamot,Geranium;Rose;Iris,Oakmoss;Amber;Cashmeran,Floral Musk,4.7,
Mancera,Absolu Whisper 0455,WOMEN,1984,Juniper Berries;Pear;Mint,Coffee;Geranium;Tuberose,Amber;Labdanum;Benzoin,Woody Spicy,3.8,https://images.odora.it/perfumes/mancera-0455.jpg
Montale,Velvet Nectar 0456,MEN,1984,Fig Leaf;Aldehydes;Saffron,Violet;Nutmeg;Geranium,Vetiver;Tonka Bean;Cashmeran,Woody Amber,4.1,
Nishane,Zenith Bloom 0457,WOMEN,2017,Saffron;Fig Leaf;Lavender,Jasmine;Lavender;Orange Blossom,Amber;Vetiver;Labdanum,Green Aromatic,3.7,
Memo Paris,Saffron Nectar 0458,UNISEX,2009,Bergamot;Mandarin;Lavender,Coffee;Fig;Patchouli,Oud;Incense;Leather,Aromatic Fougere,4.8,
Frederic Malle,Absolu Edition 0459,WOMEN,1996,Mandarin;Grapefruit;Ginger,Coffee;Jasmine;Patchouli,Oud;Cedarwood;Myrrh,Woody Amber,4.6,
Le Labo,Absolu Signature 0460,MEN,2020,Apple;Lavender;Mandarin,Geranium;Dates;Cinnamon,Praline;Cedarwood;Amber,Floral Musk,3.7,https://images.odora.it/perfumes/le-labo-0460.jpg
Dior,Absolu Eau de Parfum 0461,WOMEN,1987,Neroli;Pear;Mandarin,Fig;Coffee;Cinnamon,Tonka Bean;Myrrh;Labdanum,Woody Amber,3.5,
Chanel,Saffron Elixir 0462,WOMEN,2010,Neroli;Fig Leaf;Juniper Berries,Cedar;Iris;Dates,Cashmeran;Amber;Incense,Woody Spicy,3.9,
Xerjoff,Silk Pulse 0463,UNISEX,1984,Mandarin;Grapefruit;Neroli,Lavender;Patchouli;Violet,Leather;Sandalwood;Incense,Amber Gourmand,4.4,
Lattafa,Silk Legend 0464,MEN,1997,Juniper Berries;Mint;Pink Pepper,Dates;Orange Blossom;Rose,Amber;Vanilla;Cedarwood,Woody Spicy,3.8,
Amouage,Solar Fusion 0465,UNISEX,2011,Pink Pepper;Pear;Lemon,Iris;Ylang Ylang;Cedar,Leather;Musk;Vetiver,Aromatic Fougere,3.7,https://images.odora.it/perfumes/amouage-0465.jpg
Tom Ford,Luminous Elixir 0466,WOMEN,2000,Juniper Berries;Cardamom;Bergamot,Fig;Orange Blossom;Violet,Incense;Praline;Tonka Bean,Floral Musk,4.8,
Guerlain,Oud Bloom 0467,UNISEX,1983,Saffron;Mandarin;Bergamot,Cedar;Orange Blossom;Dates,Tonka Bean;Oakmoss;Leather,Green Aromatic,4.6,
Maison Francis Kurkdjian,Saffron Eau de Parfum 0468,UNISEX,1980,Fig Leaf;Lavender;Mandarin,Cedar;Coffee;Ylang Ylang,Cashmeran;Cedarwood;Vetiver,Woody Spicy,4.5,
Diptyque,Solar Parfum 0469,MEN,1998,Neroli;Mint;Juniper Berries,Cinnamon;Ylang Ylang;Coffee,Vetiver;Benzoin;Sandalwood,Aromatic Fougere,3.5,
Byredo,Zenith Whisper 0470,UNISEX,1983,Saffron;Bergamot;Pink Pepper,Patchouli;Ylang Ylang;Lavender,Benzoin;Amber;Sandalwood,Aromatic Fougere,4.5,https://images.odora.it/perfumes/byredo-0470.jpg
Yves Saint Laurent,Amber Fusion 0471,UNISEX,2004,Apple;Mint;Bergamot,Tuberose;Geranium;Nutmeg,Sandalwood;Vetiver;Amber,Woody Amber,4.3,
Acqua di Parma,Oud Whisper 0472,UNISEX,1989,Ginger;Lemon;Mint,Tuberose;Patchouli;Rose,Cashmeran;Oakmoss;Incense,Woody Spicy,4.2,
Parfums de Marly,Opaline Essence 0473,UNISEX,1985,Bergamot;Fig Leaf;Pink Pepper,Coffee;Tuberose;Fig,Incense;Benzoin;Cashmeran,Oriental Vanilla,3.6,
Initio,Noble Spirit 0474,UNISEX,1989,Fig Leaf;Saffron;Lemon,Fig;Violet;Tuberose,Leather;Tonka Bean;Vanilla,Floral Musk,3.8,
Mancera,Noir Whisper 0475,MEN,1983,Mandarin;Fig Leaf;Pear,Rose;Patchouli;Fig,Labdanum;Incense;Cashmeran,Aromatic Fougere,4.4,https://images.odora.it/perfumes/mancera-0475.jpg
Montale,Oud Sillage 0476,WOMEN,2001,Aldehydes;Bergamot;Ginger,Geranium;Orange Blossom;Fig,Vetiver;Praline;Oud,Floral Musk,4.6,
Nishane,Noir Veil 0477,UNISEX,2013,Mandarin;Apple;Grapefruit,Iris;Tuberose;Cedar,Benzoin;Myrrh;Cashmeran,Floral Musk,4.5,
Memo Paris,Oud Parfum 0478,MEN,2004,Ginger;Lavender;Juniper Berries,Orange Blossom;Dates;Coffee,Amber;Leather;Vetiver,Green Aromatic,3.5,
Frederic Malle,Silk Trail 0479,MEN,1999,Pear;Pink Pepper;Grapefruit,Patchouli;Cinnamon;Fig,Cashmeran;Sandalwood;Musk,Fresh Citrus,4.7,
Le Labo,Midnight Nectar 0480,MEN,2019,Aldehydes;Mandarin;Lavender,Dates;Geranium;Tuberose,Cashmeran;Labdanum;Praline,Fresh Citrus,4.4,https://images.odora.it/perfumes/le-labo-0480.jpg
Dior,Midnight Edition 0481,UNISEX,2009,Mint;Fig Leaf;Mandarin,Jasmine;Orange Blossom;Nutmeg,Myrrh;Sandalwood;Praline,Woody Amber,4.3,
Chanel,Midnight Spirit 0482,UNISEX,1985,Pink Pepper;Aldehydes;Cardamom,Coffee;Rose;Lavender,Cedarwood;Amber;Incense,Woody Amber,3.9,
Xerjoff,Intense Eau de Parfum 0483,MEN,2013,Pear;Lemon;Ginger,Violet;Cinnamon;Orange Blossom,Tonka Bean;Myrrh;Oud,Woody Spicy,4.0,
Lattafa,Noir Elixir 0484,WOMEN,2004,Cardamom;Bergamot;Aldehydes,Iris;Orange Blossom;Cedar,Vanilla;Musk;Leather,Woody Spicy,4.0,
Amouage,Zenith Parfum 0485,WOMEN,1999,Saffron;Bergamot;Neroli,Rose;Cedar;Violet,Vanilla;Oud;Myrrh,Woody Spicy,3.6,https://images.odora.it/perfumes/amouage-0485.jpg
Tom Ford,Saffron Whisper 0486,MEN,2005,Juniper Berries;Bergamot;Fig Leaf,Iris;Nutmeg;Geranium,Oud;Vetiver;Musk,Amber Gourmand,3.9,
Guerlain,Opaline Trail 0487,WOMEN,1985,Saffron;Aldehydes;Mandarin,Tuberose;Patchouli;Nutmeg,Incense;Praline;Musk,Floral Musk,4.5,
Maison Francis Kurkdjian,Royal Essence 0488,UNISEX,2018,Saffron;Grapefruit;Pink Pepper,Orange Blossom;Nutmeg;Fig,Oakmoss;Vanilla;Cashmeran,Oriental Vanilla,4.6,
Diptyque,Zenith Parfum 0489,UNISEX,1988,Lavender;Cardamom;Apple,Cinnamon;Violet;Geranium,Myrrh;Vanilla;Oud,Floral Musk,4.8,
Byredo,Luminous Spirit 0490,UNISEX,1997,Cardamom;Apple;Mint,Ylang Ylang;Jasmine;Iris,Leather;Labdanum;Benzoin,Floral Musk,3.9,https://images.odora.it/perfumes/byredo-0490.jpg
Yves Saint Laurent,Luminous Veil 0491,UNISEX,1996,Bergamot;Pink Pepper;Juniper Berries,Tuberose;Rose;Iris,Benzoin;Tonka Bean;Vetiver,Aromatic Fougere,4.8,
Acqua di Parma,Opaline Whisper 0492,MEN,1984,Ginger;Apple;Mandarin,Cedar;Rose;Nutmeg,Sandalwood;Cedarwood;Benzoin,Fresh Citrus,4.1,
Parfums de Marly,Noble Whisper 0493,MEN,1990,Fig Leaf;Mint;Aldehydes,Violet;Rose;Orange Blossom,Incense;Vanilla;Praline,Aromatic Fougere,3.7,
Initio,Velvet Trail 0494,MEN,1991,Saffron;Lavender;Grapefruit,Orange Blossom;Geranium;Nutmeg,Sandalwood;Myrrh;Musk,Woody Spicy,3.9,
Mancera,Absolu Pulse 0495,WOMEN,1984,Ginger;Mandarin;Bergamot,Tuberose;Ylang Ylang;Jasmine,Vetiver;Cashmeran;Oakmoss,Woody Amber,4.3,https://images.odora.it/perfumes/mancera-0495.jpg
Montale,Royal Code 0496,WOMEN,2024,Pink Pepper;Juniper Berries;Grapefruit,Tuberose;Cinnamon;Rose,Amber;Praline;Incense,Green Aromatic,4.7,
Nishane,Eclat Reserve 0497,UNISEX,1984,Neroli;Aldehydes;Bergamot,Dates;Cedar;Rose,Oud;Sandalwood;Incense,Aromatic Fougere,4.2,
Memo Paris,Noble Sillage 0498,WOMEN,1999,Mandarin;Lemon;Saffron,Cinnamon;Iris;Cedar,Praline;Sandalwood;Oud,Woody Spicy,3.9,
